iter	RMSE
0	0.9902547933
1	0.9821838546
2	0.9742262695
3	0.9666539704
4	0.9596060733
5	0.9526504089
6	0.9461235553
7	0.9420357042
8	0.9360196207
9	0.9311276603
10	0.926426341
11	0.9205778807
12	0.9147860225
13	0.9101206557
14	0.9037903261
15	0.8978213836
16	0.8928770629
17	0.8876248721
18	0.8817105353
19	0.8763328751
20	0.8715247182
21	0.8664151563
22	0.8607802416
23	0.8555862807
24	0.8510203953
25	0.8466900126
26	0.8433725056
27	0.8387713448
28	0.8355150954
29	0.8313102433
30	0.8280281728
31	0.8242336844
32	0.8205902218
33	0.81684402
34	0.8139219398
35	0.8097678015
36	0.8072761141
37	0.8038193705
38	0.8001298503
39	0.7966313039
40	0.7925160987
41	0.7894747207
42	0.7873409977
43	0.7838659683
44	0.7817742405
45	0.7793732244
46	0.7766204901
47	0.7739435378
48	0.7703465559
49	0.767618304
50	0.76429673
51	0.761291524
52	0.7590237746
53	0.7569613525
54	0.7546182374
55	0.7530903016
56	0.7518661854
57	0.7487533161
58	0.7468249164
59	0.7451223459
60	0.7425846918
61	0.7399937724
62	0.7376130811
63	0.7354425068
64	0.7343778062
65	0.7323820426
66	0.7313018511
67	0.728892115
68	0.7255641673
69	0.7229255806
70	0.7203289831
71	0.7188949707
72	0.7162106991
73	0.7146482513
74	0.7117587767
75	0.7094863104
76	0.7064555285
77	0.7042665765
78	0.7010163398
79	0.6994137328
80	0.6976749544
81	0.6961245917
82	0.6938050259
83	0.6919046071
84	0.6903136549
85	0.6868288659
86	0.6851790953
87	0.681885452
88	0.680210691
89	0.6784018474
90	0.6776004728
91	0.6762765278
92	0.6745526048
93	0.6712967333
94	0.6693479723
95	0.6684867539
96	0.6669616922
97	0.6649774275
98	0.6643423126
99	0.6632107739
100	0.6617131059
101	0.659868458
102	0.6578561724
103	0.6564599931
104	0.6549087304
105	0.6538718546
106	0.6528901052
107	0.6521731799
108	0.6514841354
109	0.6490477077
110	0.6472433825
111	0.6459343303
112	0.6442345701
113	0.6435734626
114	0.642651362
115	0.6412486616
116	0.6394814061
117	0.6370238453
118	0.6336585145
119	0.6320293223
120	0.631219333
121	0.6287083285
122	0.6280690112
123	0.6266247527
124	0.6258851879
125	0.6254045917
126	0.6245175191
127	0.6238004985
128	0.621398109
129	0.6210134333
130	0.6197033395
131	0.6187126151
132	0.6170327489
133	0.6160197641
134	0.6151528619
135	0.6143164129
136	0.6134826128
137	0.6128247587
138	0.6120027011
139	0.6101094302
140	0.6093680384
141	0.6084999175
142	0.6073918995
143	0.6067399627
144	0.6056146153
145	0.6042564728
146	0.6035807026
147	0.6028827773
148	0.6022387817
149	0.6006933306
150	0.6000284521
151	0.5991800436
152	0.5972424193
153	0.5963117516
154	0.5958699741
155	0.5948604151
156	0.5923106972
157	0.5917948285
158	0.5913289767
159	0.5909206743
160	0.5897173241
161	0.5891383493
162	0.5875074887
163	0.5859167308
164	0.5852412129
165	0.5842976209
166	0.5836753412
167	0.5831366613
168	0.58090721
169	0.5801720401
170	0.5790720431
171	0.5784470088
172	0.577611445
173	0.5762780437
174	0.574249355
175	0.5720008595
176	0.5707060016
177	0.5691178835
178	0.5686010847
179	0.5671664261
180	0.5662656974
181	0.5643348977
182	0.5639251301
183	0.5632369834
184	0.5628678722
185	0.5623949377
186	0.5614960433
187	0.5596479865
188	0.5583502495
189	0.5569427243
190	0.5551556267
191	0.5548401978
192	0.5540140388
193	0.5525160046
194	0.5519781906
195	0.5504892763
196	0.5497569526
197	0.5482396213
198	0.5471521392
199	0.546409276
200	0.5457460652
201	0.5447230382
202	0.5444101021
203	0.5433269115
204	0.5412876434
205	0.5400613357
206	0.5393791189
207	0.5388851562
208	0.5382687114
209	0.5378328835
210	0.535847492
211	0.5338635712
212	0.5321646016
213	0.5307583867
214	0.5298317047
215	0.5293378791
216	0.5287501305
217	0.5270672295
218	0.5263515292
219	0.5260949458
220	0.5249996407
221	0.5245816546
222	0.5238310239
223	0.5232508698
224	0.5217617991
225	0.5206748389
226	0.5201211258
227	0.519623601
228	0.5187246372
229	0.5181021294
230	0.5178115739
231	0.5171677953
232	0.5162646195
233	0.5158307359
234	0.5142830605
235	0.5134153527
236	0.513176765
237	0.5127335503
238	0.5119840029
239	0.5109854205
240	0.5099280238
241	0.5092021313
242	0.5088053917
243	0.5078339677
244	0.5074927484
245	0.5072588005
246	0.5068394899
247	0.5053991624
248	0.5041699677
249	0.5038597927
250	0.5034434248
251	0.5026404753
252	0.5023469967
