iter	Passed	Remaining
0	106	159875
1	143	107729
2	180	90291
3	214	80085
4	247	74130
5	293	73040
6	339	72481
7	381	71176
8	430	71338
9	494	73638
10	543	73601
11	595	73798
12	654	74834
13	708	75186
14	757	75038
15	809	75052
16	871	75990
17	936	77116
18	986	76901
19	1034	76524
20	1079	76028
21	1122	75382
22	1174	75392
23	1213	74653
24	1264	74627
25	1317	74700
26	1392	75943
27	1439	75681
28	1493	75746
29	1541	75547
30	1591	75426
31	1639	75232
32	1689	75094
33	1744	75234
34	1796	75189
35	1852	75350
36	1910	75530
37	1974	75954
38	2029	76012
39	2075	75746
40	2130	75820
41	2186	75889
42	2235	75753
43	2296	76006
44	2347	75907
45	2382	75293
46	2436	75313
47	2484	75148
48	2541	75252
49	2596	75306
50	2648	75235
51	2709	75458
52	2799	76443
53	2844	76170
54	2898	76146
55	2947	76005
56	2984	75556
57	3042	75638
58	3097	75651
59	3146	75506
60	3204	75596
61	3247	75318
62	3298	75243
63	3344	75052
64	3397	75002
65	3450	74972
66	3495	74760
67	3544	74646
68	3588	74432
69	3644	74451
70	3697	74426
71	3743	74239
72	3792	74131
73	3834	73897
74	3889	73900
75	3947	73958
76	3995	73838
77	4039	73642
78	4089	73550
79	4134	73395
80	4185	73317
81	4237	73269
82	4290	73256
83	4344	73241
84	4392	73125
85	4442	73038
86	4494	72993
87	4548	72975
88	4601	72948
89	4650	72860
90	4693	72664
91	4745	72621
92	4786	72409
93	4838	72370
94	4888	72296
95	4938	72232
96	4990	72187
97	5036	72052
98	5078	71865
99	5128	71795
100	5182	71780
101	5229	71668
102	5275	71555
103	5324	71464
104	5383	71517
105	5428	71386
106	5476	71291
107	5522	71173
108	5557	70927
109	5602	70793
110	5653	70742
111	5705	70706
112	5750	70589
113	5787	70358
114	5826	70170
115	5875	70096
116	5925	70039
117	5971	69940
118	6027	69954
119	6082	69954
120	6131	69881
121	6180	69812
122	6219	69633
123	6269	69574
124	6313	69453
125	6358	69333
126	6398	69173
127	6447	69106
128	6488	68962
129	6520	68721
130	6566	68627
131	6598	68389
132	6657	68431
133	6704	68345
134	6737	68127
135	6764	67839
136	6800	67660
137	6845	67560
138	6875	67321
139	6923	67256
140	6959	67079
141	7001	66962
142	7052	66925
143	7112	66973
144	7168	66987
145	7210	66865
146	7247	66708
147	7265	66374
148	7310	66288
149	7358	66230
150	7388	66011
151	7435	65936
152	7476	65818
153	7523	65761
154	7565	65650
155	7610	65571
156	7659	65518
157	7707	65466
158	7758	65435
159	7790	65243
160	7844	65240
161	7889	65161
162	7943	65156
163	7991	65101
164	8030	64976
165	8072	64875
166	8109	64729
167	8159	64691
168	8205	64625
169	8251	64555
170	8296	64477
171	8341	64402
172	8388	64346
173	8438	64305
174	8479	64199
175	8533	64197
176	8579	64128
177	8624	64050
178	8660	63916
